Motor Vehicle Collision Report Manhattan Intersections,,,,,,,,,,,,,,,,,,,,,,
January   2016,,,,,,,,,,,,,,,,,,,,,,
Collisions Data,,,,,,,,,,,,,,,,,,,,,,
OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
001,2016001000126 ,149564620,2,CHAMBERS STREET&&WEST STREET,CHAMBERS STREET,WEST STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000028 ,149087492,1,CHURCH STREET&&FRANKLIN STREET,FRANKLIN STREET,CHURCH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000036 ,149122711,2,CHURCH STREET&&FRANKLIN STREET,FRANKLIN STREET,CHURCH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000058 ,149227178,3,CHURCH STREET&&FRANKLIN STREET,FRANKLIN STREET,CHURCH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000158 ,149782497,1,CHURCH STREET&&LISPENARD STREET,LISPENARD STREET,CHURCH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000075 ,149341846,1,CHURCH STREET&&VESEY STREET,CHURCH STREET,VESEY STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000101 ,149444563,1,CHURCH STREET&&WARREN STREET,CHURCH STREET,WARREN STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000104 ,149444566,1,CHURCH STREET&&WHITE STREET,CHURCH STREET,WHITE STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000015 ,149026108,1,CLIFF STREET&&FULTON STREET,FULTON STREET,CLIFF STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000039 ,149155743,2,CLIFF STREET&&FULTON STREET,FULTON STREET,CLIFF STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000212 ,149942901,1,DESBROSSES STREET&&WEST STREET,WEST STREET,DESBROSSES STREET,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000084 ,149341855,1,DOMINICK STREET&&VARICK STREET,DOMINICK STREET,VARICK STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000129 ,149617212,2,DOMINICK STREET&&VARICK STREET,VARICK STREET,DOMINICK STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000122 ,149527098,1,DOVER STREET&&SOUTH STREET,SOUTH STREET,DOVER STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000193 ,149884743,1,DOVER STREET&&WATER STREET,WATER STREET,DOVER STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000151 ,149687976,1,EXCHANGE PLACE&&NEW STREET,NEW STREET,EXCHANGE PLACE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000205 ,149927681,1,FLETCHER STREET&&PEARL STREET,PEARL STREET,FLETCHER STREET,2,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1
001,2016001000110 ,149444572,1,FRANKFORT STREET&&GOLD STREET,FRANKFORT STREET,GOLD STREET,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
001,2016001000210 ,149942899,1,FRANKLIN STREET&&VARICK STREET,VARICK STREET,FRANKLIN STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000102 ,149444564,1,FRANKLIN STREET&&WEST BROADWAY,FRANKLIN STREET,WEST BROADWAY,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000184 ,149852755,1,FRONT STREET&&MAIDEN LANE,FRONT STREET,MAIDEN LANE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000161 ,149782500,1,FRONT STREET&&OLD SLIP,FRONT STREET,OLD SLIP,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000044 ,149155748,1,FULTON STREET&&GOLD STREET,GOLD STREET,FULTON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000078 ,149341849,1,FULTON STREET&&NASSAU STREET,FULTON STREET,NASSAU STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000117 ,149495437,1,FULTON STREET&&WATER STREET,WATER STREET,FULTON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000144 ,149674005,1,FULTON STREET&&WEST STREET,FULTON STREET,WEST STREET,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000167 ,149816253,1,GOLD STREET&&MAIDEN LANE,MAIDEN LANE,GOLD STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000138 ,149617221,1,GOLD STREET&&PLATT STREET,PLATT STREET,GOLD STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000073 ,149305725,1,GOLD STREET&&SPRUCE STREET,GOLD STREET,SPRUCE STREET,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
001,2016001000176 ,149816262,2,GOLD STREET&&SPRUCE STREET,GOLD STREET,SPRUCE STREET,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
001,2016001000134 ,149617217,1,GOUVERNEUR LANE&&SOUTH STREET,SOUTH STREET,GOUVERNEUR LANE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000148 ,149674009,2,GOUVERNEUR LANE&&SOUTH STREET,SOUTH STREET,GOUVERNEUR LANE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000014 ,149026107,1,GRAND STREET&&GREENE STREET,GREENE STREET,GRAND STREET,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
001,2016001000010 ,149003890,1,GRAND STREET&&THOMPSON STREET,GRAND STREET,THOMPSON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000037 ,149122712,2,GRAND STREET&&THOMPSON STREET,GRAND STREET,THOMPSON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000160 ,149782499,1,GRAND STREET&&WEST BROADWAY,WEST BROADWAY,GRAND STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000179 ,149852750,1,GREENWICH STREET&&HARRISON STREET,GREENWICH STREET,HARRISON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000065 ,149265174,1,GREENWICH STREET&&HUBERT STREET,HUBERT STREET,GREENWICH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000131 ,149617214,1,GREENWICH STREET&&MORRIS STREET,GREENWICH STREET,MORRIS STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000106 ,149444568,1,GREENWICH STREET&&PARK PLACE,PARK PLACE,GREENWICH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000146 ,149674007,1,GREENWICH STREET&&SPRING STREET,SPRING STREET,GREENWICH STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000033 ,149122708,1,HUDSON STREET&&NORTH MOORE STREET,HUDSON STREET,NORTH MOORE STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000133 ,149617216,1,HUDSON STREET&&SPRING STREET,HUDSON STREET,SPRING STREET,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
001,2016001000088 ,149375979,1,HUDSON STREET&&VANDAM STREET,VANDAM STREET,HUDSON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000093 ,149375984,2,HUDSON STREET&&VANDAM STREET,VANDAM STREET,HUDSON STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000174 ,149816260,1,JOHN STREET&&WILLIAM STREET,WILLIAM STREET,JOHN STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000098 ,149421655,1,KING STREET&&VARICK STREET,KING STREET,VARICK STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000207 ,149927683,2,KING STREET&&VARICK STREET,VARICK STREET,KING STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000026 ,149087490,1,LAIGHT STREET&&VARICK STREET,VARICK STREET,LAIGHT STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2016001000197 ,149927673,2,LAIGHT STREET&&VARICK STREET,VARICK STREET,LAIGHT STREET,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
